date,hour,minute,interval_start,price_eur_mwh,volume_mwh
2026-01-03,22,15,2026-01-03T22:15:00,96.73,913.625
2026-01-03,22,30,2026-01-03T22:30:00,90.83,924.45
2026-01-03,22,45,2026-01-03T22:45:00,86.99,933.0
2026-01-03,23,0,2026-01-03T23:00:00,92.1,937.0
2026-01-03,23,15,2026-01-03T23:15:00,86.48,952.0
2026-01-03,23,30,2026-01-03T23:30:00,84.8,901.05
2026-01-03,23,45,2026-01-03T23:45:00,81.34,792.9
2026-01-04,0,0,2026-01-04T00:00:00,94.01,728.6
2026-01-04,0,15,2026-01-04T00:15:00,89.42,738.75
2026-01-04,0,30,2026-01-04T00:30:00,87.78,750.5
2026-01-04,0,45,2026-01-04T00:45:00,84.08,756.4
2026-01-04,1,0,2026-01-04T01:00:00,87.72,779.225
2026-01-04,1,15,2026-01-04T01:15:00,85.43,780.0
2026-01-04,1,30,2026-01-04T01:30:00,84.24,782.075
2026-01-04,1,45,2026-01-04T01:45:00,83.93,773.575
2026-01-04,2,0,2026-01-04T02:00:00,87.13,771.9
2026-01-04,2,15,2026-01-04T02:15:00,84.85,777.45
2026-01-04,2,30,2026-01-04T02:30:00,84.18,777.1
2026-01-04,2,45,2026-01-04T02:45:00,84.01,790.575
2026-01-04,3,0,2026-01-04T03:00:00,85.89,886.45
2026-01-04,3,15,2026-01-04T03:15:00,83.87,886.325
2026-01-04,3,30,2026-01-04T03:30:00,83.43,888.1
2026-01-04,3,45,2026-01-04T03:45:00,83.05,889.075
2026-01-04,4,0,2026-01-04T04:00:00,82.6,922.6
2026-01-04,4,15,2026-01-04T04:15:00,82.19,921.625
2026-01-04,4,30,2026-01-04T04:30:00,82.41,915.45
2026-01-04,4,45,2026-01-04T04:45:00,83.03,914.575
2026-01-04,5,0,2026-01-04T05:00:00,82.51,916.3
2026-01-04,5,15,2026-01-04T05:15:00,83.18,919.425
2026-01-04,5,30,2026-01-04T05:30:00,84.01,921.825
2026-01-04,5,45,2026-01-04T05:45:00,83.93,927.35
2026-01-04,6,0,2026-01-04T06:00:00,82.88,917.3
2026-01-04,6,15,2026-01-04T06:15:00,84.95,921.875
2026-01-04,6,30,2026-01-04T06:30:00,84.05,926.5
2026-01-04,6,45,2026-01-04T06:45:00,84.79,855.225
