date,block,block_start,direction,count,max_price,p10,p25,p50,p75,p90,total_volume
2026-02-04,5,20:00,up,4,4.10,1.25,2.09,3.05,3.69,3.94,11.0
2026-02-05,0,00:00,down,7,0.01,0.01,0.01,0.01,0.01,0.01,61.0
2026-02-05,0,00:00,up,42,10.40,9.27,9.79,10.01,10.11,10.19,304.0
2026-02-05,1,04:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,2.0
2026-02-05,2,08:00,up,3,15.00,9.86,9.97,10.15,12.57,14.03,7.0
2026-02-05,3,12:00,up,2,0.80,0.71,0.72,0.75,0.78,0.79,6.0
2026-02-05,4,16:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,5.0
2026-02-05,5,20:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,4.0
2026-02-06,0,00:00,down,11,0.04,0.01,0.01,0.01,0.01,0.01,61.0
2026-02-06,0,00:00,up,42,10.07,8.91,9.24,9.66,9.79,10.00,340.0
2026-02-06,1,04:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,3.0
2026-02-06,2,08:00,up,2,9.28,1.65,2.92,5.04,7.16,8.43,3.0
2026-02-06,3,12:00,up,1,0.80,0.80,0.80,0.80,0.80,0.80,6.0
2026-02-06,4,16:00,down,1,0.01,0.01,0.01,0.01,0.01,0.01,1.0
2026-02-06,4,16:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,4.0
2026-02-07,0,00:00,down,9,0.02,0.01,0.01,0.01,0.01,0.02,59.0
2026-02-07,0,00:00,up,43,9.38,8.25,8.69,8.98,9.15,9.36,328.0
2026-02-08,0,00:00,down,9,0.08,0.01,0.01,0.01,0.01,0.03,63.0
2026-02-08,0,00:00,up,46,8.68,7.81,7.99,8.25,8.50,8.57,353.0
2026-02-08,1,04:00,up,3,4.91,1.46,2.44,4.08,4.50,4.74,6.0
2026-02-08,2,08:00,up,3,6.59,1.64,2.90,5.00,5.79,6.27,3.0
2026-02-08,3,12:00,up,2,0.80,0.71,0.72,0.75,0.78,0.79,4.0
2026-02-08,4,16:00,up,3,8.78,5.32,5.79,6.59,7.68,8.34,8.0
2026-02-08,5,20:00,up,2,3.00,2.25,2.38,2.58,2.79,2.92,8.0
2026-02-09,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,59.0
2026-02-09,0,00:00,up,41,10.30,7.99,8.45,8.71,8.87,9.18,303.0
2026-02-09,1,04:00,up,2,5.05,1.14,1.79,2.88,3.96,4.61,2.0
2026-02-09,3,12:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,2.0
2026-02-09,5,20:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,4.0
2026-02-10,0,00:00,down,8,0.01,0.01,0.01,0.01,0.01,0.01,62.0
2026-02-10,0,00:00,up,49,82.30,8.34,8.74,8.91,9.35,13.21,360.0
2026-02-10,1,04:00,up,5,10.00,2.89,6.18,8.11,9.59,9.84,15.0
2026-02-10,2,08:00,up,5,26.00,3.32,7.25,10.03,15.00,21.60,14.0
2026-02-10,3,12:00,up,5,22.00,3.02,6.51,7.52,9.59,17.04,13.0
2026-02-10,4,16:00,up,5,23.96,3.42,7.49,10.03,18.00,21.58,18.0
2026-02-10,5,20:00,up,4,3.55,1.30,2.20,2.84,3.12,3.38,16.0
2026-02-11,0,00:00,down,8,0.01,0.01,0.01,0.01,0.01,0.01,63.0
2026-02-11,0,00:00,up,37,26.72,9.02,9.63,10.87,14.97,17.58,225.0
2026-02-11,2,08:00,up,3,39.77,7.95,9.38,11.76,25.77,34.17,6.0
2026-02-15,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,62.0
2026-02-15,0,00:00,up,39,9.17,8.28,8.33,8.72,8.96,9.01,349.0
2026-02-15,1,04:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,2.0
2026-02-15,2,08:00,up,1,4.50,4.50,4.50,4.50,4.50,4.50,1.0
2026-02-15,3,12:00,up,1,0.55,0.55,0.55,0.55,0.55,0.55,3.0
2026-02-15,4,16:00,up,1,8.41,8.41,8.41,8.41,8.41,8.41,17.0
2026-02-15,5,20:00,up,2,4.40,3.37,3.54,3.83,4.12,4.29,4.0
2026-02-16,0,00:00,down,6,0.01,0.01,0.01,0.01,0.01,0.01,66.0
2026-02-16,0,00:00,up,38,9.57,8.28,8.59,9.02,9.16,9.36,331.0
2026-02-16,1,04:00,up,3,5.93,1.58,2.91,5.11,5.52,5.77,5.0
2026-02-16,2,08:00,up,2,12.00,1.74,3.45,6.30,9.15,10.86,5.0
2026-02-16,3,12:00,up,2,0.60,0.56,0.56,0.57,0.59,0.59,5.0
2026-02-16,4,16:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,2.0
2026-02-16,5,20:00,up,3,3.26,1.04,1.69,2.79,3.02,3.17,5.0
2026-02-17,0,00:00,down,8,0.01,0.01,0.01,0.01,0.01,0.01,81.0
2026-02-17,0,00:00,up,36,9.25,8.28,8.86,8.98,9.12,9.20,293.0
2026-02-17,1,04:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,2.0
2026-02-17,2,08:00,up,1,7.00,7.00,7.00,7.00,7.00,7.00,1.0
2026-02-17,3,12:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,3.0
2026-02-17,4,16:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,2.0
2026-02-17,5,20:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,3.0
2026-02-18,0,00:00,down,7,0.01,0.01,0.01,0.01,0.01,0.01,63.0
2026-02-18,0,00:00,up,33,8.87,8.22,8.40,8.56,8.75,8.83,292.0
2026-02-18,1,04:00,up,1,0.70,0.70,0.70,0.70,0.70,0.70,3.0
2026-02-18,2,08:00,up,1,8.73,8.73,8.73,8.73,8.73,8.73,2.0
2026-02-18,3,12:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,3.0
2026-02-18,4,16:00,up,1,0.55,0.55,0.55,0.55,0.55,0.55,2.0
2026-02-18,5,20:00,up,1,0.60,0.60,0.60,0.60,0.60,0.60,3.0
