date,block,block_start,direction,psr_type,price_eur_mw,volume_mw
2025-10-17,5,20:00,up,mixed,12.21,140
2025-10-17,0,00:00,down,mixed,2.62,221
2025-10-17,1,04:00,down,mixed,2.22,201
2025-10-17,2,08:00,down,mixed,8.58,221
2025-10-17,3,12:00,down,mixed,1.48,121
2025-10-17,4,16:00,down,mixed,2.37,196
2025-10-17,5,20:00,down,mixed,1.08,221
2025-10-18,0,00:00,up,mixed,4.12,156
2025-10-18,1,04:00,up,mixed,12.47,75
2025-10-18,2,08:00,up,mixed,3.39,105
2025-10-18,3,12:00,up,mixed,2.72,105
2025-10-18,4,16:00,up,mixed,32.76,105
2025-10-18,5,20:00,up,mixed,10.5,135
2025-10-18,0,00:00,down,mixed,2.47,241
2025-10-18,1,04:00,down,mixed,1.96,201
2025-10-18,2,08:00,down,mixed,8.48,221
2025-10-18,3,12:00,down,mixed,1.03,121
2025-10-18,4,16:00,down,mixed,2.11,216
2025-10-18,5,20:00,down,mixed,1.06,221
2025-10-19,0,00:00,down,mixed,2.31,221
2025-10-19,1,04:00,down,mixed,1.82,176
2025-10-19,2,08:00,down,mixed,8.42,221
2025-10-19,3,12:00,down,mixed,0.85,121
2025-10-19,4,16:00,down,mixed,1.9,191
2025-10-19,5,20:00,down,mixed,0.98,221
2025-10-19,0,00:00,up,mixed,3.76,151
2025-10-19,1,04:00,up,mixed,8.97,105
2025-10-19,2,08:00,up,mixed,2.45,105
2025-10-19,3,12:00,up,mixed,1.87,105
2025-10-19,4,16:00,up,mixed,23.59,75
2025-10-19,5,20:00,up,mixed,8.66,125
2025-10-20,0,00:00,up,mixed,4.09,163
2025-10-20,1,04:00,up,mixed,10.74,145
2025-10-20,2,08:00,up,mixed,2.17,105
2025-10-20,3,12:00,up,mixed,1.57,105
2025-10-20,4,16:00,up,mixed,40.77,194
2025-10-20,5,20:00,up,mixed,9.14,145
2025-10-20,0,00:00,down,mixed,2.03,221
2025-10-20,1,04:00,down,mixed,1.54,176
2025-10-20,2,08:00,down,mixed,7.66,221
2025-10-20,3,12:00,down,mixed,0.69,126
2025-10-20,4,16:00,down,mixed,1.59,196
2025-10-20,5,20:00,down,mixed,1.02,221
2025-10-21,0,00:00,down,mixed,1.89,221
2025-10-21,1,04:00,down,mixed,1.36,166
2025-10-21,2,08:00,down,mixed,7.16,216
2025-10-21,3,12:00,down,mixed,0.52,126
2025-10-21,4,16:00,down,mixed,1.45,181
2025-10-21,5,20:00,down,mixed,1.21,221
2025-10-21,0,00:00,up,mixed,4.29,145
2025-10-21,1,04:00,up,mixed,12.1,128
2025-10-21,2,08:00,up,mixed,2.15,105
2025-10-21,3,12:00,up,mixed,1.49,115
2025-10-21,4,16:00,up,mixed,44.6,173
2025-10-21,5,20:00,up,mixed,9.31,145
2025-10-22,0,00:00,up,mixed,4.24,170
2025-10-22,1,04:00,up,mixed,12.74,188
2025-10-22,2,08:00,up,mixed,1.9,105
2025-10-22,3,12:00,up,mixed,1.37,115
